iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,29,OptimalGlobal,2.46591969019539,1.277,OptimalGlobal,2.77307368856357,17.717
2,28,OptimalGlobal,1.626060160898,1.122,OptimalGlobal,2.77307368856357,15.581
3,27,OptimalGlobal,1.3871705614576,1.114,OptimalGlobal,2.77307368856357,15.444
4,26,OptimalGlobal,1.33048243976511,1.084,OptimalGlobal,2.77307368856357,13.476
5,25,OptimalGlobal,1.24147878500532,0.74,OptimalGlobal,2.77307368856356,13.711
6,24,OptimalGlobal,1.19145612783581,0.928,OptimalGlobal,2.77307368856356,9.039
7,23,OptimalGlobal,1.18906733637174,1.013,OptimalGlobal,2.77307368856357,15.04
8,22,OptimalGlobal,1.13801684373682,0.656,OptimalGlobal,2.77307368856357,28.232
9,21,OptimalGlobal,1.20260943302477,0.836,OptimalGlobal,2.77307368856357,12.052
10,20,OptimalGlobal,1.13494408785321,0.688,OptimalGlobal,2.77307368856357,12.757
11,19,OptimalGlobal,1.04090442035038,0.689,OptimalGlobal,2.77307368856357,11.397
12,18,OptimalGlobal,1.05770501372035,0.76,OptimalGlobal,2.77307368856357,13.603
13,17,OptimalGlobal,1.16758192000901,0.657,OptimalGlobal,2.77307368856356,32.342
14,16,OptimalGlobal,1.00799271124504,0.608,OptimalGlobal,2.77307368856357,8.691
15,15,OptimalGlobal,0.991800770035822,0.721,OptimalGlobal,2.77307368856357,7.301
16,14,OptimalGlobal,1.04207453309355,0.676,OptimalGlobal,2.77307368856357,7.662
17,13,OptimalGlobal,1.05627378991412,0.753,OptimalGlobal,2.77307368856357,11.607
18,12,OptimalGlobal,1.03035491601086,0.643,OptimalGlobal,2.77307368856356,7.562
19,11,OptimalGlobal,2.12709419312358,0.833,OptimalGlobal,2.77307368856357,5.159
20,10,OptimalGlobal,1.88889628223206,0.615,OptimalGlobal,2.77307368856357,5.929
21,9,OptimalGlobal,1.6880946980515,0.614,OptimalGlobal,2.77307368856357,6.146
22,8,OptimalGlobal,2.06719267179655,0.441,OptimalGlobal,2.77307368856357,15.152
23,7,OptimalGlobal,2.48550106954472,0.497,OptimalGlobal,2.77307368856357,8.422
24,6,OptimalGlobal,2.99552788918581,0.495,OptimalGlobal,2.77307368856357,5.003
25,5,OptimalGlobal,3.60889587629296,0.35,OptimalGlobal,2.77307368856357,9.16
26,4,OptimalGlobal,3.33748117277655,0.356,OptimalGlobal,2.77307368856357,4.213
27,3,OptimalGlobal,4.11715974622939,0.349,OptimalGlobal,2.77307368856356,6.721
28,2,OptimalGlobal,6.27784606330194,0.526,OptimalGlobal,2.77307368856356,13.092
29,1,OptimalGlobal,14.2469255855145,0.083,OptimalGlobal,2.77307368856356,40.041
