row_idx,dataset,hidden,mode,bin,draw,success,runtime_seconds,out_dir,selected_groups_json,selection_source,error
5,FD004,10 10,windows,low,0,True,700.8662938978523,results/time_trust_stability_lowrul/FD004/W30_step1/h10_10/windows/low/draw_000_n_100_rulmean_14.210_rep_000/results/FD004/W30_step1/h10_10/windows__mlp_transfer__capped_slack0.000,"[""2""]",history.29.selected_windows,
6,FD004,10 10,windows,low,1,True,704.5330805270933,results/time_trust_stability_lowrul/FD004/W30_step1/h10_10/windows/low/draw_001_n_100_rulmean_13.820_rep_000/results/FD004/W30_step1/h10_10/windows__mlp_transfer__capped_slack0.000,"[""2""]",history.29.selected_windows,
8,FD004,10 10,windows,low,3,True,701.0755670908839,results/time_trust_stability_lowrul/FD004/W30_step1/h10_10/windows/low/draw_003_n_100_rulmean_15.420_rep_000/results/FD004/W30_step1/h10_10/windows__mlp_transfer__capped_slack0.000,"[""2""]",history.29.selected_windows,
9,FD004,10 10,windows,low,4,True,709.8501186231151,results/time_trust_stability_lowrul/FD004/W30_step1/h10_10/windows/low/draw_004_n_100_rulmean_13.580_rep_000/results/FD004/W30_step1/h10_10/windows__mlp_transfer__capped_slack0.000,"[""2""]",history.29.selected_windows,
