iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,15,OptimalGlobal,6.61583825559591,2.362,OptimalGlobal,5.04352844655483,59.86
2,14,OptimalGlobal,4.80997638744423,1.953,OptimalGlobal,5.04352844655484,23.406
3,13,OptimalGlobal,5.96488869568539,2.821,OptimalGlobal,5.04352844655483,24.764
4,12,OptimalGlobal,4.88677242090565,1.638,Feasible,5.04352844655484,60.208
5,11,OptimalGlobal,5.80659787215382,1.546,OptimalGlobal,5.04352844655484,21.381
6,10,OptimalGlobal,6.0742116700221,1.477,OptimalGlobal,5.04352844655484,21.562
7,9,OptimalGlobal,5.71356658672216,1.4,OptimalGlobal,5.04352844655484,19.09
8,8,OptimalGlobal,6.57094115690518,1.674,OptimalGlobal,5.04352844655484,31.008
9,7,OptimalGlobal,6.93676451096563,2.999,OptimalGlobal,5.04352844655484,35.475
10,6,OptimalGlobal,6.06655365710539,0.955,OptimalGlobal,5.04352844655484,22.993
11,5,OptimalGlobal,5.91712897854033,1.278,OptimalGlobal,5.04352844655483,9.546
12,4,OptimalGlobal,6.51379485100109,1.187,OptimalGlobal,5.04352844655483,34.284
13,3,OptimalGlobal,7.92545024597389,0.938,OptimalGlobal,5.04352844655484,18.437
14,2,OptimalGlobal,8.35734390339862,0.488,OptimalGlobal,5.04352844655484,54.781
15,1,OptimalGlobal,7.98249293308671,0.122,Feasible,5.43015962799175,60.182
