dataset,mode,bin,n_runs,n_ok,n_with_selection,runtime_mean_seconds,runtime_median_seconds,runtime_std_seconds,runtime_cv,runtime_p95_seconds,mean_pairwise_jaccard
FD001,sensors,low,5,5,5,260.5570021741558,260.0506803810131,2.0930292008005202,0.008032903293082653,263.3487838595174,0.1
FD001,windows,low,5,5,5,522.9339736227878,523.768663748866,5.831923804725616,0.011152313865406658,528.230995992478,0.4
