iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,20,OptimalGlobal,15.1352544398997,0.39,OptimalGlobal,15.4376637580172,1.889
2,19,OptimalGlobal,13.3964875746686,0.376,OptimalGlobal,15.4376637580172,1.728
3,18,OptimalGlobal,12.6342240749328,0.412,OptimalGlobal,15.4376637580172,1.736
4,17,OptimalGlobal,12.4483298847494,0.357,OptimalGlobal,15.4376637580172,1.635
5,16,OptimalGlobal,11.6646936755173,0.347,OptimalGlobal,15.4376637580172,1.696
6,15,OptimalGlobal,11.6346187572519,0.351,OptimalGlobal,15.4376637580172,1.469
7,14,OptimalGlobal,11.0017039308369,0.273,OptimalGlobal,15.4376637580172,1.382
8,13,OptimalGlobal,13.5567072963419,0.329,OptimalGlobal,15.4376637580172,1.222
9,12,OptimalGlobal,11.0429861887934,0.267,OptimalGlobal,15.4376637580172,1.088
10,11,OptimalGlobal,10.5934908119504,0.271,OptimalGlobal,15.4376637580172,0.981
11,10,OptimalGlobal,9.25040534905512,0.256,OptimalGlobal,15.4376637580172,0.903
12,9,OptimalGlobal,7.46711391849415,0.211,OptimalGlobal,15.4376637580172,0.813
13,8,OptimalGlobal,4.37822257004665,0.206,OptimalGlobal,15.4376637580172,0.726
14,7,OptimalGlobal,3.8593847719801,0.186,OptimalGlobal,15.4376637580172,0.671
15,6,OptimalGlobal,8.51012683959096,0.135,OptimalGlobal,15.4376637580172,0.577
16,5,OptimalGlobal,8.34090846658595,0.115,OptimalGlobal,15.4376637580172,0.51
17,4,OptimalGlobal,8.24466476835243,0.097,OptimalGlobal,15.4376637580172,0.436
18,3,OptimalGlobal,9.28690804174728,0.065,OptimalGlobal,15.4376637580172,0.353
19,2,OptimalGlobal,13.3918372729588,0.032,OptimalGlobal,15.4376637580172,0.26
20,1,OptimalGlobal,18.7732477222909,0.02,OptimalGlobal,15.4376637580172,0.179
