iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,20,OptimalGlobal,7.91455062051371,3.79,OptimalGlobal,7.8933236537475,16.465
2,19,OptimalGlobal,4.26199185225104,2.518,OptimalGlobal,7.8933236537475,7.951
3,18,OptimalGlobal,3.74088004447361,2.874,OptimalGlobal,7.8933236537475,6.776
4,17,OptimalGlobal,3.68251807247379,2.742,OptimalGlobal,7.8933236537475,6.013
5,16,OptimalGlobal,3.73300602036119,3.508,OptimalGlobal,7.8933236537475,11.276
6,15,OptimalGlobal,3.67504224842025,3.49,OptimalGlobal,7.8933236537475,13.101
7,14,OptimalGlobal,3.60543404056981,2.239,OptimalGlobal,7.8933236537475,19.841
8,13,OptimalGlobal,3.60078818378648,2.459,OptimalGlobal,7.8933236537475,14.11
9,12,OptimalGlobal,3.95269574738366,2.082,OptimalGlobal,7.8933236537475,15.117
10,11,OptimalGlobal,3.54729337567857,2.21,OptimalGlobal,7.8933236537475,10.42
11,10,OptimalGlobal,4.58836219934141,1.676,OptimalGlobal,7.8933236537475,9.548
12,9,OptimalGlobal,7.82148670385799,2.618,OptimalGlobal,7.8933236537475,9.426
13,8,OptimalGlobal,14.0244937861308,2.064,OptimalGlobal,7.8933236537475,6.857
14,7,OptimalGlobal,11.2656489709023,1.802,OptimalGlobal,7.8933236537475,4.355
15,6,OptimalGlobal,9.26971723044286,1.86,OptimalGlobal,7.8933236537475,4.424
16,5,OptimalGlobal,14.9099808602007,1.707,OptimalGlobal,7.8933236537475,3.439
17,4,OptimalGlobal,17.1511737393247,1.901,OptimalGlobal,7.8933236537475,3.821
18,3,OptimalGlobal,16.6125878322363,1.303,OptimalGlobal,7.8933236537475,2.012
19,2,OptimalGlobal,17.8114061130159,1.132,OptimalGlobal,7.8933236537475,1.509
20,1,OptimalGlobal,22.815666203067,0.079,OptimalGlobal,7.8933236537475,4.159
