iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,20,OptimalGlobal,6.4801803650329,2.879,OptimalGlobal,6.90729951134984,2.691
2,19,OptimalGlobal,3.70800487256164,3.906,OptimalGlobal,6.90729951134984,2.348
3,18,OptimalGlobal,2.9993187266317,3.953,OptimalGlobal,6.90729951134984,2.34
4,17,OptimalGlobal,2.9077443952344,2.678,OptimalGlobal,6.90729951134984,2.143
5,16,OptimalGlobal,3.01855331157421,2.354,OptimalGlobal,6.90729951134984,2.221
6,15,OptimalGlobal,3.06754036135319,2.392,OptimalGlobal,6.90729951134984,1.851
7,14,OptimalGlobal,3.01224600408294,2.814,OptimalGlobal,6.90729951134984,1.645
8,13,OptimalGlobal,5.3896494900557,2.196,OptimalGlobal,6.90729951134984,1.488
9,12,OptimalGlobal,4.56029868753438,2.412,OptimalGlobal,6.90729951134984,1.465
10,11,OptimalGlobal,3.78906953140741,2.471,OptimalGlobal,6.90729951134984,1.325
11,10,OptimalGlobal,3.34925478493923,2.256,OptimalGlobal,6.90729951134984,1.207
12,9,OptimalGlobal,8.1623698960981,2.044,OptimalGlobal,6.90729951134984,1.087
13,8,OptimalGlobal,7.42241047503353,2.065,OptimalGlobal,6.90729951134984,1.028
14,7,OptimalGlobal,5.43775874949007,2.084,OptimalGlobal,6.90729951134984,0.919
15,6,OptimalGlobal,6.0178504993044,1.727,OptimalGlobal,6.90729951134984,0.825
16,5,OptimalGlobal,7.2215058668084,1.652,OptimalGlobal,6.90729951134984,0.735
17,4,OptimalGlobal,8.25372776195672,1.674,OptimalGlobal,6.90729951134984,0.685
18,3,OptimalGlobal,10.8334121908666,3.218,OptimalGlobal,6.90729951134984,0.588
19,2,OptimalGlobal,15.6708591107688,0.905,OptimalGlobal,6.90729951134984,0.365
20,1,OptimalGlobal,29.273040385472,0.064,OptimalGlobal,6.90729951134984,0.282
