dataset,group_mode,ranking,split,metric,band_lo,band_hi,auc_norm_mean
FD003,sensors,timetrust,val,r2,0.2,0.8,0.789480834826827
FD003,sensors,weights,val,r2,0.2,0.8,0.7866179318063788
FD003,sensors,randomavg,train,rmse,0.2,0.8,47.3272298454923
FD003,sensors,timetrust,train,rmse,0.2,0.8,44.92801951562492
FD003,sensors,weights,train,rmse,0.2,0.8,45.38217975022096
FD003,sensors,randomavg,val,rmse,0.2,0.8,41.10264755124728
FD003,sensors,timetrust,val,rmse,0.2,0.8,41.59727573089826
FD003,sensors,weights,val,rmse,0.2,0.8,41.7838748468668
FD003,windows,randomavg,train,mae,0.2,0.8,31.40125984615749
FD003,windows,timetrust,train,mae,0.2,0.8,31.20186867537321
FD003,windows,weights,train,mae,0.2,0.8,29.280907012798163
FD003,windows,randomavg,val,mae,0.2,0.8,29.198213047451436
FD003,windows,timetrust,val,mae,0.2,0.8,28.69105962470725
FD003,windows,weights,val,mae,0.2,0.8,26.887901394455515
FD003,windows,randomavg,train,r2,0.2,0.8,0.75378570622868
FD003,windows,timetrust,train,r2,0.2,0.8,0.7581557195495675
FD003,windows,weights,train,r2,0.2,0.8,0.7806730871951139
FD003,windows,randomavg,val,r2,0.2,0.8,0.7697893651547254
FD003,windows,timetrust,val,r2,0.2,0.8,0.7758478765134457
FD003,windows,weights,val,r2,0.2,0.8,0.7958879625355756
FD003,windows,randomavg,train,rmse,0.2,0.8,46.41828302354683
FD003,windows,timetrust,train,rmse,0.2,0.8,46.048508679201746
FD003,windows,weights,train,rmse,0.2,0.8,43.84868090063484
FD003,windows,randomavg,val,rmse,0.2,0.8,43.50761105651171
FD003,windows,timetrust,val,rmse,0.2,0.8,42.849293340662996
FD003,windows,weights,val,rmse,0.2,0.8,40.98184975322207
FD004,sensors,randomavg,train,mae,0.2,0.8,46.086448116403396
FD004,sensors,timetrust,train,mae,0.2,0.8,41.87006296228479
FD004,sensors,weights,train,mae,0.2,0.8,41.47391186265088
FD004,sensors,randomavg,val,mae,0.2,0.8,43.58478395573045
FD004,sensors,timetrust,val,mae,0.2,0.8,38.7396989852663
FD004,sensors,weights,val,mae,0.2,0.8,38.50049207980039
FD004,sensors,randomavg,train,r2,0.2,0.8,0.45444432995306755
FD004,sensors,timetrust,train,r2,0.2,0.8,0.5410242712686931
FD004,sensors,weights,train,r2,0.2,0.8,0.5446565262224308
FD004,sensors,randomavg,val,r2,0.2,0.8,0.49663823007275826
FD004,sensors,timetrust,val,r2,0.2,0.8,0.6044607968557449
FD004,sensors,weights,val,r2,0.2,0.8,0.607241136119479
FD004,sensors,randomavg,train,rmse,0.2,0.8,61.53655918712874
FD004,sensors,timetrust,train,rmse,0.2,0.8,56.84425054915952
FD004,sensors,weights,train,rmse,0.2,0.8,56.61056201514288
FD004,sensors,randomavg,val,rmse,0.2,0.8,55.60863850600931
FD004,sensors,timetrust,val,rmse,0.2,0.8,49.91797260970501
FD004,sensors,weights,val,rmse,0.2,0.8,49.720102901332346
FD004,windows,randomavg,train,mae,0.2,0.8,41.728108865243414
FD004,windows,timetrust,train,mae,0.2,0.8,41.45918545899568
FD004,windows,weights,train,mae,0.2,0.8,40.46311544488977
FD004,windows,randomavg,val,mae,0.2,0.8,38.15354301311351
FD004,windows,timetrust,val,mae,0.2,0.8,37.7856148260611
FD004,windows,weights,val,mae,0.2,0.8,36.6929377803096
FD004,windows,randomavg,train,r2,0.2,0.8,0.5390162633525001
FD004,windows,timetrust,train,r2,0.2,0.8,0.5429309645184763
FD004,windows,weights,train,r2,0.2,0.8,0.5598701045469
FD004,windows,randomavg,val,r2,0.2,0.8,0.61368978244287
FD004,windows,timetrust,val,r2,0.2,0.8,0.6193585048119227
FD004,windows,weights,val,r2,0.2,0.8,0.6357157870575233
FD004,windows,randomavg,train,rmse,0.2,0.8,56.977259282367925
FD004,windows,timetrust,train,rmse,0.2,0.8,56.74090555174612
FD004,windows,weights,train,rmse,0.2,0.8,55.68323875476975
FD004,windows,randomavg,val,rmse,0.2,0.8,49.34152676312474
FD004,windows,timetrust,val,rmse,0.2,0.8,48.98761330931464
FD004,windows,weights,val,rmse,0.2,0.8,47.92285277658895
