dataset,window_tag,hidden_tag,group_mode,ranking,split,metric,n_groups,removed_groups,remaining_groups,remaining_pct,value
FD001,W30_step1,h10,sensors,weights,val,rmse,15,9,6,0.4,42.6368960787082
FD001,W30_step1,h10,sensors,weights,val,r2,15,9,6,0.4,0.6310299038887024
FD001,W30_step1,h10,sensors,weights,train,mae,15,10,5,0.3333333333333333,23.226451873779297
FD001,W30_step1,h10,sensors,weights,train,rmse,15,10,5,0.3333333333333333,33.65564247652706
FD001,W30_step1,h10,sensors,weights,train,r2,15,10,5,0.3333333333333333,0.6932694911956787
FD001,W30_step1,h10,sensors,weights,val,mae,15,10,5,0.3333333333333333,30.665571212768555
FD001,W30_step1,h10,sensors,weights,val,rmse,15,10,5,0.3333333333333333,43.77258485136915
FD001,W30_step1,h10,sensors,weights,val,r2,15,10,5,0.3333333333333333,0.611112117767334
FD001,W30_step1,h10,sensors,weights,train,mae,15,11,4,0.26666666666666666,25.212533950805664
FD001,W30_step1,h10,sensors,weights,train,rmse,15,11,4,0.26666666666666666,35.488055731603204
FD001,W30_step1,h10,sensors,weights,train,r2,15,11,4,0.26666666666666666,0.6589597463607788
FD001,W30_step1,h10,sensors,weights,val,mae,15,11,4,0.26666666666666666,33.24928665161133
FD001,W30_step1,h10,sensors,weights,val,rmse,15,11,4,0.26666666666666666,46.30681423853162
FD001,W30_step1,h10,sensors,weights,val,r2,15,11,4,0.26666666666666666,0.5647790431976318
FD001,W30_step1,h10,sensors,weights,train,mae,15,12,3,0.2,29.65315055847168
FD001,W30_step1,h10,sensors,weights,train,rmse,15,12,3,0.2,40.4432276541566
FD001,W30_step1,h10,sensors,weights,train,r2,15,12,3,0.2,0.5570722818374634
FD001,W30_step1,h10,sensors,weights,val,mae,15,12,3,0.2,38.659080505371094
FD001,W30_step1,h10,sensors,weights,val,rmse,15,12,3,0.2,51.183002129918584
FD001,W30_step1,h10,sensors,weights,val,r2,15,12,3,0.2,0.46829408407211304
