dataset,window_tag,hidden_tag,group_mode,method,random_trial,n_groups,n_points,ks_evaluated,mae_full_ref,rmse_full_ref,mae_mean_ref,rmse_mean_ref,mean_y_train,ranking_file,partial_auc_lo,partial_auc_hi,retrain_retention_auc,retrain_retention_auc_20_80,retrain_retention_auc_20_80_raw,retrain_retention_at_20,retrain_retention_at_80,val_mae_auc,val_mae_auc_20_80,val_mae_auc_20_80_raw,val_mae_at_20,val_mae_at_80,val_rmse_auc,val_rmse_auc_20_80,val_rmse_auc_20_80_raw,val_rmse_at_20,val_rmse_at_80
FAKE_DATASET,W10_step1,h10,sensors,fulltrust_agg_selection,-1,5,6,"0,1,2,3,4,5",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_sensors_fulltrust_agg_selection.json,0.2,0.8,-0.13048343784299957,-0.2155988034243572,-0.12935928205461433,-0.2169982299984885,0.4981756129672034,9.790114974975586,9.732652346293131,5.839591407775879,9.731707572937012,10.214531898498535,11.800856399536134,11.722092469533283,7.033255481719971,12.094708442687988,12.079023361206055
FAKE_DATASET,W10_step1,h10,sensors,timetrust_selection,-1,5,6,"0,1,2,3,4,5",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_sensors_timetrust_selection.json,0.2,0.8,1.048480807561424,1.5592029954885915,0.9355217972931551,0.9345975259531946,0.4874115175820621,10.586050987243652,10.93084700902303,6.558508205413819,10.509166717529297,10.20726490020752,12.846238899230958,13.282828172047932,7.96969690322876,12.92490291595459,12.338239669799805
FAKE_DATASET,W10_step1,h10,sensors,weights,-1,5,6,"0,1,2,3,4,5",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_sensors_weights.json,0.2,0.8,0.22960804284166472,0.3863476802809401,0.23180860816856408,-0.2169982299984885,0.4874115175820621,10.033218002319336,10.139035224914549,6.083421134948731,9.731707572937012,10.20726490020752,12.275063705444335,12.46923526128133,7.4815411567688,12.094708442687988,12.338239669799805
FAKE_DATASET,W10_step1,h10,sensors,group_ablation,-1,5,6,"0,1,2,3,4,5",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_sensors_group_ablation_masking.json,0.2,0.8,0.25606116040338517,0.4304362095504742,0.25826172573028455,-0.2169982299984885,0.4874115175820621,10.051076889038086,10.168800036112467,6.101280021667481,9.731707572937012,10.20726490020752,12.206739616394042,12.355361779530842,7.413217067718507,12.094708442687988,12.338239669799805
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,0,5,6,"0,1,2,3,4,5",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,,0.2,0.8,0.6365159928747903,0.872930466109815,0.5237582796658891,2.3696972350966012,-0.9497011621550228,10.307927513122559,10.467534383138021,6.280520629882814,11.478023529052734,9.237049102783203,12.647151565551757,12.852793375651041,7.711676025390625,14.379607200622559,11.472870826721191
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,1,5,6,"0,1,2,3,4,5",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,,0.2,0.8,0.7812012560936504,1.0475473071633028,0.6285283842979817,1.056551053878394,0.7625966049308598,10.405606651306151,10.585420767466225,6.351252460479736,10.591499328613281,10.393046379089355,12.700741577148438,12.955444653828938,7.773266792297363,13.173789978027344,12.59868049621582
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,2,5,6,"0,1,2,3,4,5",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,,0.2,0.8,0.9298186631332559,1.228374927662548,0.7370249565975289,0.23375462100354708,1.9866013852062907,10.505940437316895,10.70750013987223,6.4245000839233395,10.036017417907715,11.219389915466309,12.782417678833006,13.052212715148924,7.831327629089356,12.250641822814941,13.757981300354004
FAKE_DATASET,W10_step1,h10,windows,fulltrust_agg_selection,-1,10,7,"0,1,2,4,6,8,10",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_windows_fulltrust_agg_selection.json,0.2,0.8,0.6506171697209671,1.0629355844701318,0.6377613506820792,0.6814675332563931,-0.588644868196336,10.317447423934937,10.595809618631998,6.3574857711792,10.338274955749512,9.480803489685059,12.461075782775879,12.82507610321045,7.695045661926271,12.295283317565918,11.465542793273926
FAKE_DATASET,W10_step1,h10,windows,timetrust_selection,-1,10,7,"0,1,2,4,6,8,10",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_windows_timetrust_selection.json,0.2,0.8,0.994639423993762,0.9564124767448925,0.5738474860469356,1.2587578346934423,3.6699378027401828,10.54970188140869,10.523894309997559,6.314336585998536,10.728012084960938,12.3558349609375,12.7669105052948,12.775215466817219,7.665129280090333,12.813421249389648,15.04078483581543
FAKE_DATASET,W10_step1,h10,windows,weights,-1,10,7,"0,1,2,4,6,8,10",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_windows_weights.json,0.2,0.8,1.1424383642530325,1.4432827289006542,0.8659696373403927,1.403095595620341,2.185525258189965,10.649483108520508,10.852587540944418,6.5115525245666515,10.825456619262695,11.353686332702637,12.858067989349363,13.163747469584145,7.898248481750488,12.959748268127441,13.489371299743652
FAKE_DATASET,W10_step1,h10,windows,group_ablation,-1,10,7,"0,1,2,4,6,8,10",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10/rankings/ranking_windows_group_ablation_masking.json,0.2,0.8,0.7158061276237483,1.1261795889961375,0.6757077533976825,1.2587578346934423,-0.3984749452260107,10.361457443237304,10.638506571451822,6.383103942871094,10.728012084960938,9.609189987182617,12.509004068374633,12.87196683883667,7.723180103302003,12.813421249389648,11.654990196228027
FAKE_DATASET,W10_step1,h10,windows,random_permutation,0,10,7,"0,1,2,4,6,8,10",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,,0.2,0.8,0.669811232799696,1.009126643867126,0.6054759863202757,-0.3393091484922497,0.43653774708331156,10.330405616760254,10.55948241551717,6.335689449310303,9.649133682250977,10.172919273376465,12.567300605773926,12.91024398803711,7.746146392822267,11.687590599060059,12.320630073547363
FAKE_DATASET,W10_step1,h10,windows,random_permutation,1,10,7,"0,1,2,4,6,8,10",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,,0.2,0.8,0.8483414534919036,1.1754677037114467,0.7052806222268682,0.8347866745584531,1.4092658802190676,10.450933980941773,10.67178169886271,6.403069019317627,10.44178295135498,10.829622268676758,12.767154932022097,13.154480616251627,7.892688369750977,12.717672348022461,12.959518432617188
FAKE_DATASET,W10_step1,h10,windows,random_permutation,2,10,7,"0,1,2,4,6,8,10",10.55332088470459,12.98997688293457,9.878206253051758,11.701048851013184,17.875579833984375,,0.2,0.8,0.4839802149711333,0.7582476467078866,0.45494858802473204,0.014723643858179512,0.37364548268209613,10.204948377609254,10.39011033376058,6.234066200256349,9.88814640045166,10.130459785461426,12.371012878417968,12.592262268066404,7.555357360839844,11.933135032653809,12.426386833190918
FAKE_DATASET,W10_step1,h10_10,sensors,fulltrust_agg_selection,-1,5,6,"0,1,2,3,4,5",9.458296775817871,11.686025619506836,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,0.2,0.8,0.36920534990358994,0.01950646556455692,0.011703879338734152,-1.3603281346878429,1.8145407636035766,9.723173427581788,9.870015303293865,5.922009181976319,10.449420928955078,9.116263389587402,11.37424440383911,11.484119256337483,6.890471553802491,12.1218843460083,10.662939071655273
FAKE_DATASET,W10_step1,h10_10,sensors,timetrust_selection,-1,5,6,"0,1,2,3,4,5",9.458296775817871,11.686025619506836,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10_10/rankings/ranking_sensors_timetrust_selection.json,0.2,0.8,0.5011223986900049,0.2559225722053022,0.15355354332318133,0.14258233459835978,0.2123041423370512,9.667780208587645,9.770741939544678,5.862445163726807,9.818334579467773,9.789057731628418,11.375720310211182,11.451011180877686,6.870606708526612,11.505677223205566,11.4925537109375
FAKE_DATASET,W10_step1,h10_10,sensors,weights,-1,5,6,"0,1,2,3,4,5",9.458296775817871,11.686025619506836,9.878206253051758,11.701048851013184,17.875579833984375,mlp_baselines/FAKE_DATASET/W10_step1/h10_10/rankings/ranking_sensors_weights.json,0.2,0.8,0.6000002271142635,0.21183552990678484,0.12710131794407092,-0.2063537486344755,1.8145407636035766,9.626260471343995,9.789254506429035,5.873552703857422,9.964856147766113,9.116263389587402,11.270017528533936,11.397263526916502,6.8383581161499025,11.600749969482422,10.662939071655273
