iter_idx,n0_value,milp1_status,milp1_objective,milp1_solve_time_s,milp2_status,milp2_objective,milp2_solve_time_s
1,29,OptimalGlobal,8.98379141587102,0.278,OptimalGlobal,9.22476931388892,2.37
2,28,OptimalGlobal,6.02426145516155,0.235,OptimalGlobal,9.22476931388892,2.726
3,27,OptimalGlobal,3.89128714434442,0.221,OptimalGlobal,9.22476931388892,2.396
4,26,OptimalGlobal,2.78512060358216,0.212,OptimalGlobal,9.22476931388892,2.636
5,25,OptimalGlobal,2.18280210421536,0.203,OptimalGlobal,9.22476931388892,2.004
6,24,OptimalGlobal,1.92794255949158,0.198,OptimalGlobal,9.22476931388892,2.901
7,23,OptimalGlobal,1.79748961544859,0.196,OptimalGlobal,9.22476931388892,1.842
8,22,OptimalGlobal,1.80684905053317,0.179,OptimalGlobal,9.22476931388892,1.615
9,21,OptimalGlobal,1.73293395312982,0.178,OptimalGlobal,9.22476931388891,1.738
10,20,OptimalGlobal,1.75944112936094,0.163,OptimalGlobal,9.22476931388892,1.207
11,19,OptimalGlobal,2.05496757613851,0.155,OptimalGlobal,9.22476931388892,1.615
12,18,OptimalGlobal,1.61287991454081,0.184,OptimalGlobal,9.22476931388892,1.655
13,17,OptimalGlobal,1.65771949744594,0.141,OptimalGlobal,9.22476931388892,1.661
14,16,OptimalGlobal,1.61012865970925,0.136,OptimalGlobal,9.22476931388892,1.234
15,15,OptimalGlobal,1.80683444629476,0.124,OptimalGlobal,9.22476931388892,1.362
16,14,OptimalGlobal,1.65109414999947,0.109,OptimalGlobal,9.22476931388892,1.361
17,13,OptimalGlobal,2.113391966873,0.106,OptimalGlobal,9.22476931388892,1.206
18,12,OptimalGlobal,2.37048309979198,0.113,OptimalGlobal,9.22476931388892,0.937
19,11,OptimalGlobal,2.22536792008738,0.099,OptimalGlobal,9.22476931388892,0.959
20,10,OptimalGlobal,2.45935055861128,0.086,OptimalGlobal,9.22476931388892,0.882
21,9,OptimalGlobal,2.54036109028179,0.082,OptimalGlobal,9.22476931388892,0.806
22,8,OptimalGlobal,3.01870653718938,0.076,OptimalGlobal,9.22476931388891,0.775
23,7,OptimalGlobal,2.85223608725536,0.065,OptimalGlobal,9.22476931388892,0.682
24,6,OptimalGlobal,2.62533649418325,0.061,OptimalGlobal,9.22476931388892,0.705
25,5,OptimalGlobal,3.19791804846864,0.055,OptimalGlobal,9.22476931388892,0.56
26,4,OptimalGlobal,3.8369643845313,0.056,OptimalGlobal,9.22476931388892,0.42
27,3,OptimalGlobal,5.86456505472284,0.046,OptimalGlobal,9.22476931388892,0.439
28,2,OptimalGlobal,6.13859055713095,0.039,OptimalGlobal,9.22476931388892,0.492
29,1,OptimalGlobal,4.85803736607137,0.024,OptimalGlobal,9.22476931388892,1.763
