iter_idx,n0_value,n_features,is_final_mlp,is_baseline,train_mse,val_mse,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,mlp_train_time_s
1,20,630,False,True,3408.62548828125,2712.49365234375,58.38343505037409,52.0816057005134,43.44900894165039,40.8040771484375,0.5162312984466553,0.5700075626373291,0.0
2,19,600,False,False,127.35657501220703,786.3187255859375,11.285237038370397,28.041375244198303,8.700536727905273,22.0596923828125,-0.8854345083236694,-9.499215126037598,3.4627545760013163
3,18,570,False,False,30.6977596282959,822.305419921875,5.540555895241551,28.6758682505321,4.195889949798584,22.32697296142578,0.5455388426780701,-9.979722023010254,3.593634869903326
4,17,540,False,False,55.004905700683594,926.0645141601562,7.416529221993506,30.431308124366858,6.2175493240356445,23.39156723022461,0.18568670749664307,-11.365152359008789,3.3319806449580938
5,16,510,False,False,171.41993713378906,1528.0,13.092743682429175,39.08964057138413,10.445834159851074,29.091632843017578,-1.5377652645111084,-19.402414321899414,3.3439206208568066
6,15,480,False,False,45.396244049072266,908.99560546875,6.7376734893486985,30.149553984574133,5.356151580810547,23.648183822631836,0.32793694734573364,-11.137242317199707,3.544537035981193
7,14,450,False,False,7.588790416717529,833.0466918945312,2.7547759285861217,28.862548257119144,2.1543679237365723,22.776857376098633,0.8876526951789856,-10.123144149780273,3.4294692159164697
8,13,420,False,False,2.3026363849639893,795.9313354492188,1.5174440302574554,28.212255057850633,1.1920223236083984,22.015769958496094,0.9659109115600586,-9.62756633758545,3.429154962999746
9,12,390,False,False,163.11209106445312,1151.31103515625,12.771534405248772,33.930974568324,9.935506820678711,28.03057289123535,-1.4147725105285645,-14.372725486755371,3.4763657259754837
10,11,360,False,False,259.3565979003906,1653.3214111328125,16.104552086301272,40.66105521420727,12.508988380432129,33.479087829589844,-2.8396124839782715,-21.07575225830078,3.3721086669247597
11,10,330,False,False,106.65430450439453,1464.4630126953125,10.327357091937634,38.268302976423094,8.020005226135254,31.709156036376953,-0.5789504051208496,-18.554044723510742,3.45003978186287
12,9,300,False,False,1679.59814453125,2460.476806640625,40.98290063589021,49.603193512521194,33.732452392578125,40.028072357177734,-23.865402221679688,-31.85318374633789,3.4149322430603206
13,8,270,False,False,141.41212463378906,606.8167114257812,11.891683002577434,24.633649981798907,9.78053092956543,19.917064666748047,-1.0935180187225342,-7.102438926696777,3.5177074240054935
14,7,240,False,False,29.11370277404785,385.51593017578125,5.395711516940825,19.634559587008344,4.1718950271606445,15.318172454833984,0.5689898133277893,-4.147549629211426,3.4953584419563413
15,6,210,False,False,410.70465087890625,1212.76318359375,20.265849374721657,34.824749584078134,15.402759552001953,26.684404373168945,-5.080225944519043,-15.193258285522461,3.4484498440288007
16,5,180,False,False,322.45672607421875,1124.4755859375,17.957080109923737,33.53320124797959,13.681583404541016,25.560901641845703,-3.773770809173584,-14.014410018920898,3.5669901659712195
17,4,150,False,False,406.65093994140625,1353.8497314453125,20.165588013777487,36.79469705603394,15.725910186767578,27.99300765991211,-5.0202131271362305,-17.077096939086914,3.4951058600563556
18,3,120,False,False,511.9447937011719,1478.4404296875,22.626197066700623,38.45049323074413,18.028072357177734,29.703685760498047,-6.579023361206055,-18.740676879882812,3.5203688230831176
19,2,90,False,False,703.3043212890625,771.7684326171875,26.519885393588385,27.78072052012308,21.046815872192383,23.298463821411133,-9.411980628967285,-9.30493450164795,3.400129299145192
20,1,60,False,False,2463.8486328125,2247.648193359375,49.63716987110063,47.40936820249111,39.205013275146484,39.67245101928711,-35.475738525390625,-29.01141929626465,3.9083862360566854
21,0,30,True,False,1506.1036376953125,1370.1942138671875,38.80855108987338,37.01613450736297,33.60517883300781,32.206825256347656,-21.29692268371582,-17.295333862304688,3.400715896161273
