dataset,window_tag,hidden,mode,bin,draw_source,draw,repeat,out_dir,group,survival_steps,survival_fraction,first_n0_present,deepest_n0_present,max_n0_in_run,n_steps_in_run
FD001,W30_step1,10,sensors,low,train,2,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,9,4,0.2857142857142857,14,11,14,14
FD001,W30_step1,10,sensors,low,train,2,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,10,9,0.6428571428571429,14,6,14,14
FD001,W30_step1,10,sensors,low,train,2,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,11,13,0.9285714285714286,14,2,14,14
FD001,W30_step1,10,sensors,low,train,2,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,12,10,0.7142857142857143,14,5,14,14
FD001,W30_step1,10,sensors,low,train,2,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,13,1,0.07142857142857142,14,14,14,14
FD001,W30_step1,10,sensors,low,train,2,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,14,2,0.14285714285714285,14,13,14,14
FD001,W30_step1,10,sensors,low,train,2,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_002_n_100_rulmean_13.170_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,15,11,0.7857142857142857,14,4,14,14
FD001,W30_step1,10,sensors,low,train,3,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,1,2,0.14285714285714285,14,13,14,14
FD001,W30_step1,10,sensors,low,train,3,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,3,13,0.9285714285714286,14,2,14,14
FD001,W30_step1,10,sensors,low,train,3,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_003_n_100_rulmean_14.980_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,4,4,0.2857142857142857,14,11,14,14
