dataset,window_tag,hidden,mode,bin,draw_source,draw,repeat,run_status,out_dir,iter_file,iter_idx,n0_value,selected_groups_json,selected_count,selected_key
FD001,W30_step1,10,sensors,low,train,0,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_012.json,12,3,"[""11"", ""6"", ""8""]",3,selected_sensors
FD001,W30_step1,10,sensors,low,train,0,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_013.json,13,2,"[""11"", ""6""]",2,selected_sensors
FD001,W30_step1,10,sensors,low,train,0,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_014.json,14,1,"[""11""]",1,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_001.json,1,14,"[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",14,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_002.json,2,13,"[""1"", ""10"", ""11"", ""12"", ""14"", ""15"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]",13,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_003.json,3,12,"[""1"", ""10"", ""11"", ""12"", ""14"", ""15"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9""]",12,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_004.json,4,11,"[""1"", ""10"", ""11"", ""12"", ""15"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9""]",11,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_005.json,5,10,"[""1"", ""10"", ""11"", ""12"", ""15"", ""3"", ""6"", ""7"", ""8"", ""9""]",10,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_006.json,6,9,"[""10"", ""11"", ""12"", ""15"", ""3"", ""6"", ""7"", ""8"", ""9""]",9,selected_sensors
FD001,W30_step1,10,sensors,low,train,1,0,ok,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000,results/time_trust_stability_lowrul/FD001/W30_step1/h10/sensors/low/draw_001_n_100_rulmean_14.350_rep_000/results/FD001/W30_step1/h10/sensors__mlp_transfer__capped_slack0.000/iter_007.json,7,8,"[""11"", ""12"", ""15"", ""3"", ""6"", ""7"", ""8"", ""9""]",8,selected_sensors
