dataset,window_tag,hidden,mode,bin,draw_source,n0_value,n_runs,mean_selected_count,mean_pairwise_jaccard,min_pairwise_jaccard,max_pairwise_jaccard
FD001,W30_step1,10 10,sensors,low,train,12,5,12.0,0.6589010989010988,0.6,0.8461538461538461
FD001,W30_step1,10 10,sensors,low,train,13,5,13.0,0.758095238095238,0.7333333333333333,0.8571428571428571
FD001,W30_step1,10 10,sensors,low,train,14,5,14.0,0.8666666666666668,0.8666666666666667,0.8666666666666667
FD001,W30_step1,10 10,windows,low,train,1,5,1.0,0.6,0.0,1.0
FD001,W30_step1,10 10,windows,low,train,2,5,2.0,0.2,0.0,0.3333333333333333
FD001,W30_step1,10 10,windows,low,train,3,5,3.0,0.14,0.0,0.2
FD001,W30_step1,10 10,windows,low,train,4,5,4.0,0.13333333333333333,0.0,0.3333333333333333
FD001,W30_step1,10 10,windows,low,train,5,5,5.0,0.1484126984126984,0.0,0.42857142857142855
FD001,W30_step1,10 10,windows,low,train,6,5,6.0,0.1545454545454545,0.0,0.3333333333333333
FD001,W30_step1,10 10,windows,low,train,7,5,7.0,0.16386946386946386,0.0,0.2727272727272727
FD001,W30_step1,10 10,windows,low,train,8,5,8.0,0.22538128538128538,0.0,0.45454545454545453
FD001,W30_step1,10 10,windows,low,train,9,5,9.0,0.2637087912087912,0.125,0.38461538461538464
FD001,W30_step1,10 10,windows,low,train,10,5,10.0,0.26029411764705884,0.17647058823529413,0.3333333333333333
FD001,W30_step1,10 10,windows,low,train,11,5,11.0,0.2686704506363949,0.15789473684210525,0.375
FD001,W30_step1,10 10,windows,low,train,12,5,12.0,0.294984520123839,0.2,0.4117647058823529
FD001,W30_step1,10 10,windows,low,train,13,5,13.0,0.29632718159033944,0.18181818181818182,0.3684210526315789
FD001,W30_step1,10 10,windows,low,train,14,5,14.0,0.31636363636363635,0.2727272727272727,0.4
FD001,W30_step1,10 10,windows,low,train,15,5,15.0,0.34747317899491814,0.25,0.42857142857142855
FD001,W30_step1,10 10,windows,low,train,16,5,16.0,0.37149853045505216,0.23076923076923078,0.45454545454545453
FD001,W30_step1,10 10,windows,low,train,17,5,17.0,0.40929603729603725,0.3076923076923077,0.5454545454545454
FD001,W30_step1,10 10,windows,low,train,18,5,18.0,0.45245221445221445,0.3333333333333333,0.6363636363636364
FD001,W30_step1,10 10,windows,low,train,19,5,19.0,0.49678227086922744,0.4074074074074074,0.7272727272727273
FD001,W30_step1,10 10,windows,low,train,20,5,20.0,0.5206841268010683,0.3793103448275862,0.7391304347826086
FD001,W30_step1,10 10,windows,low,train,21,5,21.0,0.5714927792514,0.4482758620689655,0.75
FD001,W30_step1,10 10,windows,low,train,22,5,22.0,0.6085488049625981,0.5172413793103449,0.76
FD001,W30_step1,10 10,windows,low,train,23,5,23.0,0.6562853493887977,0.5862068965517241,0.7037037037037037
FD001,W30_step1,10 10,windows,low,train,24,5,24.0,0.679255610290093,0.6551724137931034,0.7777777777777778
FD001,W30_step1,10 10,windows,low,train,25,5,25.0,0.713464696223317,0.6666666666666666,0.7857142857142857
FD001,W30_step1,10 10,windows,low,train,26,5,26.0,0.7576683087027914,0.7333333333333333,0.8571428571428571
FD001,W30_step1,10 10,windows,low,train,27,5,27.0,0.8062068965517242,0.8,0.8620689655172413
FD001,W30_step1,10 10,windows,low,train,28,5,28.0,0.8731034482758622,0.8666666666666667,0.9310344827586207
FD001,W30_step1,10 10,windows,low,train,29,5,29.0,0.9400000000000001,0.9333333333333333,1.0
FD001,W30_step1,10 10 10,sensors,low,train,1,5,1.0,0.1,0.0,1.0
FD001,W30_step1,10 10 10,sensors,low,train,2,5,2.0,0.26666666666666666,0.0,1.0
FD001,W30_step1,10 10 10,sensors,low,train,3,5,3.0,0.49000000000000005,0.2,1.0
FD001,W30_step1,10 10 10,sensors,low,train,4,5,4.0,0.48761904761904756,0.14285714285714285,1.0
FD001,W30_step1,10 10 10,sensors,low,train,5,5,5.0,0.40476190476190477,0.25,0.6666666666666666
FD001,W30_step1,10 10 10,sensors,low,train,6,5,6.0,0.5523809523809524,0.3333333333333333,0.7142857142857143
FD001,W30_step1,10 10 10,sensors,low,train,7,5,7.0,0.6272222222222222,0.4,1.0
FD001,W30_step1,10 10 10,sensors,low,train,8,5,8.0,0.5951515151515151,0.45454545454545453,0.7777777777777778
FD001,W30_step1,10 10 10,sensors,low,train,9,5,9.0,0.6918181818181819,0.5,1.0
FD001,W30_step1,10 10 10,sensors,low,train,10,5,10.0,0.8212121212121213,0.6666666666666666,1.0
FD001,W30_step1,10 10 10,sensors,low,train,11,5,11.0,0.8217948717948718,0.6923076923076923,1.0
