mode,combinations,total_ok_runs,mean_runtime_s,std_runtime_s,median_runtime_s,mean_cv,mean_runtime_min,std_runtime_min
sensors,12,60,477.22467102881836,142.92892425031093,475.4289235983044,0.029061103812685497,7.953744517146973,2.382148737505182
windows,12,60,790.8304365853586,243.42013946855184,735.4638851385564,0.04505979781430758,13.180507276422643,4.057002324475864
