dataset,MLP,Mode,RUL bin,Runs,OK runs,Mean runtime (s),Std runtime (s),Runtime CV,P95 runtime (s),Jaccard @ final,Jaccard @ >=50% groups,Jaccard @ >=75% groups,Mean Jaccard over n0
FD001,h10,sensors,low,5,5,260.5570021741558,2.09302920080052,0.0080329032930826,263.3487838595174,0.1,0.7717062104562105,0.906547619047619,0.6391552495123923
FD001,h10,windows,low,5,5,522.9339736227878,5.831923804725616,0.0111523138654066,528.230995992478,0.4,0.7491271910327243,0.8032414845690707,0.5931013450405797
FD001,h10_10,sensors,low,5,5,331.6893520461396,9.08420908538503,0.0273877018642472,342.293061993178,0.1,0.5767757936507936,0.7176007326007325,0.40051329622758197
FD001,h10_10,windows,low,5,5,628.7082964791916,23.10995078565997,0.0367578269844333,654.417905162694,0.6,0.6136141501676734,0.7543166392993979,0.4369001098492205
FD001,h10_10_10,sensors,low,5,5,504.2455446938519,48.9036117922179,0.0969837260969936,565.7535019946284,0.1,0.7553916222666223,0.8269322344322343,0.5960401106829678
FD001,h10_10_10,windows,low,5,5,948.0603773210198,39.16953117975684,0.0413154395192003,979.76889012591,0.6,0.767674594668653,0.8697340569641918,0.6506455753032792
FD002,h10,sensors,low,5,5,451.0748185953591,4.1422442825004016,0.0091830537013777,453.9150146305561,1.0,1.0,1.0,1.0
FD002,h10,windows,low,5,5,651.5736919352319,4.945825541792037,0.0075905850758069,656.9598325476051,1.0,1.0,1.0,1.0
FD002,h10_10,sensors,low,5,5,492.5183460256085,4.087438448630439,0.0082990582617158,496.7336439645384,1.0,1.0,1.0,1.0
FD002,h10_10,windows,low,5,5,702.8507197275292,6.486489651047705,0.0092288297770574,707.9690128832124,1.0,1.0,1.0,0.9853023604747743
FD002,h10_10_10,sensors,low,5,5,537.5956187540665,6.729162276868942,0.0125171449359361,545.0752815386746,1.0,0.9726001271455817,1.0,0.9647634032634033
FD002,h10_10_10,windows,low,5,5,769.485194864776,5.604019750095943,0.0072828168592389,774.4078025964554,1.0,1.0,1.0,0.9818288225184777
FD003,h10,sensors,low,5,5,307.3474528686609,2.782360396436548,0.0090528174886991,310.16226725652814,0.0,0.7323950008325009,0.8520260989010989,0.5186380841380841
FD003,h10,windows,low,5,5,574.2850764399394,8.742770553075328,0.015223746727449,585.9355964447838,0.6,0.7053544211497392,0.8122119279188245,0.5541679519757684
FD003,h10_10,sensors,low,5,5,458.3395011710003,29.87113699690549,0.0651725127783847,495.30308049111625,0.1,0.7084118659118659,0.839212454212454,0.49087257187257194
FD003,h10_10,windows,low,5,5,768.0770505495835,32.83171514700326,0.042745340618511,809.2708901724778,0.1,0.6573540215520647,0.7796244193226951,0.46208988524479266
FD003,h10_10_10,sensors,low,5,5,764.4834586153272,34.363621112187055,0.0449501172653601,805.2399467146024,0.3,0.7504204129204128,0.8716025641025642,0.5969173419173418
FD003,h10_10_10,windows,low,5,5,1347.1761568715797,55.86192247358508,0.0414659376122777,1407.7357998958323,0.4,0.7375667436374294,0.8228802997768515,0.5232195220668021
FD004,h10,sensors,low,5,5,451.7658865668811,3.6322871979820888,0.0080401980450207,455.3638089231681,1.0,1.0,1.0,1.0
FD004,h10,windows,low,5,5,649.892469665641,2.1177979063806047,0.0032586897144233,651.9856072439812,1.0,1.0,1.0,1.0
FD004,h10_10,sensors,low,5,5,493.2312500271946,3.299329662577557,0.0066892145669919,496.8209710659925,1.0,1.0,1.0,1.0
FD004,h10_10,windows,low,5,5,783.143651810987,176.82623824227375,0.2257902976463775,1021.484582857415,1.0,1.0,1.0,1.0
FD004,h10_10_10,sensors,low,5,5,673.8478208075743,35.326335520937086,0.0524247974544165,705.3833251366857,0.3,0.7561748992321746,0.8449503661113568,0.5975689940004955
FD004,h10_10_10,windows,low,5,5,1143.7785797360352,113.12627754387287,0.098905749371509,1290.9912417033222,0.2,0.6111533022329623,0.7628280212762972,0.40110385277911154
