dataset,window_tag,hidden_tag,group_mode,reference,comparator,n_groups,spearman,kendall,overlap_at_1,overlap_at_3,overlap_at_5,overlap_at_10,rank_mae,rank_mae_norm,rank_rmse,reference_file,comparator_file
FAKE_DATASET,W10_step1,h10_10_10,sensors,fulltrust_agg_selection,timetrust_selection,5,-0.7,-0.6,0.0,0.3333333333333333,1.0,nan,2.0,0.5,2.6076809620810595,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_sensors_timetrust_selection.json
FAKE_DATASET,W10_step1,h10_10_10,sensors,fulltrust_agg_selection,weights,5,0.8999999999999998,0.8,1.0,1.0,1.0,nan,0.4,0.1,0.6324555320336759,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_sensors_weights.json
FAKE_DATASET,W10_step1,h10_10_10,windows,fulltrust_agg_selection,randomavg,10,0.3696969696969697,0.28888888888888886,0.0,0.3333333333333333,0.6,1.0,2.8,0.3111111111111111,3.22490309931942,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_windows_randomavg.json
FAKE_DATASET,W10_step1,h10_10_10,windows,fulltrust_agg_selection,timetrust_selection,10,0.5272727272727272,0.37777777777777777,0.0,0.6666666666666666,0.6,1.0,2.4,0.26666666666666666,2.792848008753788,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json
FAKE_DATASET,W10_step1,h10_10_10,windows,fulltrust_agg_selection,weights,10,0.2121212121212121,0.1111111111111111,0.0,0.3333333333333333,0.6,1.0,3.0,0.3333333333333333,3.605551275463989,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FAKE_DATASET/W10_step1/h10_10_10/rankings/ranking_windows_weights.json
FD001,W30_step1,h10,sensors,fulltrust_agg_selection,randomavg,15,-0.125,-0.12380952380952381,0.0,0.3333333333333333,0.2,0.6,5.2,0.37142857142857144,6.48074069840786,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_sensors_randomavg.json
FD001,W30_step1,h10,sensors,fulltrust_agg_selection,timetrust_selection,15,0.7785714285714285,0.6190476190476191,0.0,1.0,0.6,0.8,2.2666666666666666,0.1619047619047619,2.8751811537130436,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_sensors_timetrust_selection.json
FD001,W30_step1,h10,sensors,fulltrust_agg_selection,weights,15,0.8178571428571428,0.6571428571428571,0.0,0.6666666666666666,0.8,0.9,1.8666666666666667,0.13333333333333333,2.6076809620810595,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_sensors_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_sensors_weights.json
FD001,W30_step1,h10,windows,fulltrust_agg_selection,randomavg,30,-0.03626251390433815,-0.020689655172413793,0.0,0.0,0.0,0.3,11.0,0.3793103448275862,12.460604586723177,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_windows_randomavg.json
FD001,W30_step1,h10,windows,fulltrust_agg_selection,timetrust_selection,30,0.42246941045606223,0.3057471264367816,0.0,0.3333333333333333,0.2,0.6,7.4,0.25517241379310346,9.302329457363534,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_windows_fulltrust_agg_selection.json,mlp_baselines/FD001/W30_step1/h10/rankings/ranking_windows_timetrust_selection.json
