group_mode,n_configs,spearman_mean,spearman_std,spearman_min,spearman_max,kendall_mean,rank_mae_norm_mean
sensors,12,0.711,0.157,0.465,0.956,0.56,0.176
windows,12,0.242,0.409,-0.523,0.905,0.185,0.283
