dataset,mode,bin,n_runs,n_ok,n_with_selection,runtime_mean_seconds,runtime_median_seconds,runtime_std_seconds,runtime_cv,runtime_p95_seconds,mean_pairwise_jaccard
FD001,sensors,low,5,5,5,331.68935204613956,330.3501983778551,9.08420908538503,0.027387701864247285,342.29306199317796,0.1
FD001,windows,low,5,5,5,628.7082964791916,626.4992684819736,23.10995078565997,0.036757826984433375,654.417905162694,0.6
