dataset,mode,bin,group,count,n_with_selection,frequency
FD001,sensors,low,9,2,5,0.4
FD001,sensors,low,1,1,5,0.2
FD001,sensors,low,12,1,5,0.2
FD001,sensors,low,8,1,5,0.2
FD001,windows,low,30,4,5,0.8
FD001,windows,low,29,1,5,0.2
